location_name,latitude,longitude,image_url
"良鎮寺","34.17540873051819","132.79715707220998","undefined"
"かわいいネズミがいる通り","34.175","132.796528","undefined"
"かわいい階段のある通り","34.174944","132.797361","undefined"
"レトロといえば!たばこ屋の看板","34.17510499287464","132.79811077440405","undefined"
"とよしま銀座","34.17498698584771","132.79888375169412","undefined"
"旧豊島小学校・旧豊島幼稚園","34.17453","132.79637","undefined"
"升谷医院","34.17424744769896","132.7974339196648","undefined"
"旧豊島小学校グラウンド","34.17399","132.7959","undefined"
"郵便局","34.17427390767902","132.79706422704854","undefined"
"豊島温泉","34.174135934489","132.79761237536746","undefined"
"日向ぼっこポイント","34.17411557964235","132.7983329740291","undefined"
"豊浜まちづくりセンター 豊島分館","34.17382","132.79727","undefined"
"ここも通れます","34.173669655700095","132.79756007144204","undefined"
"胡神社","34.1736929561999","132.79814881631387","undefined"
"ディープな路地裏","34.17358622365369","132.79755425062785","undefined"
"石碑のある井戸（2）","34.173097322585996","132.7976099103021","undefined"
"公衆トイレ","34.17572762583623","132.79940765703873","undefined"
"広警察署 豊浜駐在所","34.175663273610816","132.79895972813853","undefined"
"豊島の漁船","34.17405339037396","132.79856071862528","undefined"
"このあたりまで登ると眺めも◎","34.17555","132.79514","undefined"
"集落の裏にはみかん畑が。あまくておいしい、自慢のみかんです。","34.17588241045907","132.79562823395162","undefined"
"細すぎて不安になる、マニアックな路地","34.17479425313621","132.79810214481193","undefined"
"四角形の井戸","34.17461007045294","132.7982121153793","undefined"
"路地裏のお地蔵さん","34.17393606770119","132.797940008288","undefined"
"路地裏の小さな祠","34.17541544247085","132.79857706818828","undefined"
"海の眺めるお地蔵さん","34.17475","132.79883","undefined"
"日本一のジャングルジム","34.17273","132.80418","undefined"
"大きな古い家","34.17422","132.79652","undefined"
